#    L    TT             EE             BB             TE             PP             TP             EP          
  1719   0.400580E+03   0.112981E+02   0.000000E+00  -0.325206E+02   0.267307E-08   0.171086E-06   0.959051E-07
  1720   0.400952E+03   0.111697E+02   0.000000E+00  -0.323176E+02   0.267037E-08   0.170588E-06   0.945591E-07
  1721   0.401309E+03   0.110425E+02   0.000000E+00  -0.321085E+02   0.266768E-08   0.170149E-06   0.932092E-07
  1722   0.401650E+03   0.109165E+02   0.000000E+00  -0.318933E+02   0.266499E-08   0.169767E-06   0.918554E-07
  1723   0.401974E+03   0.107919E+02   0.000000E+00  -0.316723E+02   0.266230E-08   0.169442E-06   0.904980E-07
  1724   0.402282E+03   0.106685E+02   0.000000E+00  -0.314454E+02   0.265962E-08   0.169174E-06   0.891371E-07
  1725   0.402573E+03   0.105465E+02   0.000000E+00  -0.312130E+02   0.265694E-08   0.168962E-06   0.877730E-07
  1726   0.402845E+03   0.104258E+02   0.000000E+00  -0.309750E+02   0.265427E-08   0.168807E-06   0.864056E-07
  1727   0.403101E+03   0.103066E+02   0.000000E+00  -0.307316E+02   0.265160E-08   0.168707E-06   0.850353E-07
  1728   0.403338E+03   0.101887E+02   0.000000E+00  -0.304829E+02   0.264893E-08   0.168662E-06   0.836621E-07
  1729   0.403556E+03   0.100724E+02   0.000000E+00  -0.302291E+02   0.264627E-08   0.168672E-06   0.822863E-07
  1730   0.403756E+03   0.995753E+01   0.000000E+00  -0.299702E+02   0.264361E-08   0.168737E-06   0.809080E-07
  1731   0.403937E+03   0.984419E+01   0.000000E+00  -0.297063E+02   0.264096E-08   0.168857E-06   0.795273E-07
  1732   0.404098E+03   0.973240E+01   0.000000E+00  -0.294377E+02   0.263830E-08   0.169030E-06   0.781444E-07
  1733   0.404239E+03   0.962224E+01   0.000000E+00  -0.291643E+02   0.263566E-08   0.169256E-06   0.767595E-07
  1734   0.404360E+03   0.951365E+01   0.000000E+00  -0.288863E+02   0.263302E-08   0.169536E-06   0.753727E-07
  1735   0.404461E+03   0.940669E+01   0.000000E+00  -0.286040E+02   0.263038E-08   0.169868E-06   0.739843E-07
  1736   0.404542E+03   0.930144E+01   0.000000E+00  -0.283174E+02   0.262774E-08   0.170253E-06   0.725943E-07
  1737   0.404602E+03   0.919790E+01   0.000000E+00  -0.280267E+02   0.262512E-08   0.170690E-06   0.712029E-07
  1738   0.404641E+03   0.909607E+01   0.000000E+00  -0.277321E+02   0.262249E-08   0.171179E-06   0.698104E-07
  1739   0.404660E+03   0.899602E+01   0.000000E+00  -0.274336E+02   0.261987E-08   0.171719E-06   0.684167E-07
  1740   0.404658E+03   0.889775E+01   0.000000E+00  -0.271315E+02   0.261725E-08   0.172310E-06   0.670222E-07
  1741   0.404635E+03   0.880126E+01   0.000000E+00  -0.268259E+02   0.261463E-08   0.172951E-06   0.656269E-07
  1742   0.404590E+03   0.870664E+01   0.000000E+00  -0.265169E+02   0.261202E-08   0.173643E-06   0.642311E-07
  1743   0.404524E+03   0.861379E+01   0.000000E+00  -0.262047E+02   0.260942E-08   0.174385E-06   0.628349E-07
  1744   0.404436E+03   0.852287E+01   0.000000E+00  -0.258893E+02   0.260682E-08   0.175176E-06   0.614384E-07
  1745   0.404327E+03   0.843382E+01   0.000000E+00  -0.255709E+02   0.260422E-08   0.176016E-06   0.600419E-07
  1746   0.404194E+03   0.834669E+01   0.000000E+00  -0.252497E+02   0.260162E-08   0.176905E-06   0.586454E-07
  1747   0.404040E+03   0.826142E+01   0.000000E+00  -0.249257E+02   0.259903E-08   0.177843E-06   0.572492E-07
  1748   0.403864E+03   0.817816E+01   0.000000E+00  -0.245992E+02   0.259645E-08   0.178828E-06   0.558534E-07
  1749   0.403664E+03   0.809682E+01   0.000000E+00  -0.242702E+02   0.259386E-08   0.179862E-06   0.544581E-07
  1750   0.403443E+03   0.801742E+01   0.000000E+00  -0.239390E+02   0.259128E-08   0.180942E-06   0.530636E-07
  1751   0.403199E+03   0.794002E+01   0.000000E+00  -0.236056E+02   0.258871E-08   0.182070E-06   0.516700E-07
  1752   0.402932E+03   0.786463E+01   0.000000E+00  -0.232703E+02   0.258614E-08   0.183244E-06   0.502774E-07
  1753   0.402643E+03   0.779125E+01   0.000000E+00  -0.229332E+02   0.258357E-08   0.184464E-06   0.488859E-07
  1754   0.402331E+03   0.771986E+01   0.000000E+00  -0.225943E+02   0.258101E-08   0.185729E-06   0.474957E-07
  1755   0.401996E+03   0.765056E+01   0.000000E+00  -0.222539E+02   0.257845E-08   0.187040E-06   0.461069E-07
  1756   0.401639E+03   0.758327E+01   0.000000E+00  -0.219121E+02   0.257589E-08   0.188394E-06   0.447197E-07
  1757   0.401259E+03   0.751805E+01   0.000000E+00  -0.215690E+02   0.257334E-08   0.189793E-06   0.433341E-07
  1758   0.400855E+03   0.745484E+01   0.000000E+00  -0.212249E+02   0.257079E-08   0.191235E-06   0.419504E-07
  1759   0.400429E+03   0.739375E+01   0.000000E+00  -0.208798E+02   0.256825E-08   0.192720E-06   0.405686E-07
  1760   0.399981E+03   0.733472E+01   0.000000E+00  -0.205338E+02   0.256571E-08   0.194248E-06   0.391888E-07
  1761   0.399509E+03   0.727776E+01   0.000000E+00  -0.201871E+02   0.256317E-08   0.195817E-06   0.378112E-07
  1762   0.399014E+03   0.722289E+01   0.000000E+00  -0.198398E+02   0.256064E-08   0.197428E-06   0.364360E-07
  1763   0.398497E+03   0.717011E+01   0.000000E+00  -0.194922E+02   0.255811E-08   0.199079E-06   0.350632E-07
  1764   0.397957E+03   0.711941E+01   0.000000E+00  -0.191444E+02   0.255559E-08   0.200771E-06   0.336930E-07
  1765   0.397396E+03   0.707082E+01   0.000000E+00  -0.187964E+02   0.255307E-08   0.202503E-06   0.323255E-07
  1766   0.396812E+03   0.702432E+01   0.000000E+00  -0.184485E+02   0.255055E-08   0.204274E-06   0.309608E-07
  1767   0.396206E+03   0.697993E+01   0.000000E+00  -0.181008E+02   0.254803E-08   0.206085E-06   0.295991E-07
  1768   0.395578E+03   0.693764E+01   0.000000E+00  -0.177534E+02   0.254552E-08   0.207933E-06   0.282405E-07
  1769   0.394929E+03   0.689745E+01   0.000000E+00  -0.174065E+02   0.254302E-08   0.209819E-06   0.268852E-07
  1770   0.394258E+03   0.685936E+01   0.000000E+00  -0.170603E+02   0.254052E-08   0.211743E-06   0.255332E-07
  1771   0.393566E+03   0.682338E+01   0.000000E+00  -0.167149E+02   0.253802E-08   0.213703E-06   0.241847E-07
  1772   0.392852E+03   0.678949E+01   0.000000E+00  -0.163703E+02   0.253552E-08   0.215700E-06   0.228399E-07
  1773   0.392118E+03   0.675768E+01   0.000000E+00  -0.160267E+02   0.253303E-08   0.217732E-06   0.214988E-07
  1774   0.391361E+03   0.672796E+01   0.000000E+00  -0.156843E+02   0.253054E-08   0.219800E-06   0.201615E-07
  1775   0.390585E+03   0.670031E+01   0.000000E+00  -0.153432E+02   0.252806E-08   0.221903E-06   0.188283E-07
  1776   0.389787E+03   0.667475E+01   0.000000E+00  -0.150036E+02   0.252558E-08   0.224040E-06   0.174993E-07
  1777   0.388970E+03   0.665126E+01   0.000000E+00  -0.146654E+02   0.252310E-08   0.226210E-06   0.161745E-07
  1778   0.388132E+03   0.662982E+01   0.000000E+00  -0.143290E+02   0.252063E-08   0.228414E-06   0.148541E-07
  1779   0.387273E+03   0.661043E+01   0.000000E+00  -0.139944E+02   0.251816E-08   0.230651E-06   0.135383E-07
  1780   0.386395E+03   0.659308E+01   0.000000E+00  -0.136617E+02   0.251569E-08   0.232920E-06   0.122271E-07
  1781   0.385497E+03   0.657776E+01   0.000000E+00  -0.133311E+02   0.251323E-08   0.235220E-06   0.109207E-07
  1782   0.384580E+03   0.656447E+01   0.000000E+00  -0.130027E+02   0.251077E-08   0.237552E-06   0.961931E-08
  1783   0.383643E+03   0.655319E+01   0.000000E+00  -0.126766E+02   0.250832E-08   0.239915E-06   0.832292E-08
  1784   0.382688E+03   0.654390E+01   0.000000E+00  -0.123530E+02   0.250587E-08   0.242308E-06   0.703172E-08
  1785   0.381713E+03   0.653661E+01   0.000000E+00  -0.120319E+02   0.250342E-08   0.244730E-06   0.574584E-08
  1786   0.380721E+03   0.653128E+01   0.000000E+00  -0.117135E+02   0.250098E-08   0.247182E-06   0.446541E-08
  1787   0.379711E+03   0.652790E+01   0.000000E+00  -0.113979E+02   0.249854E-08   0.249662E-06   0.319056E-08
  1788   0.378682E+03   0.652647E+01   0.000000E+00  -0.110852E+02   0.249610E-08   0.252171E-06   0.192142E-08
  1789   0.377636E+03   0.652697E+01   0.000000E+00  -0.107756E+02   0.249367E-08   0.254707E-06   0.658113E-09
  1790   0.376573E+03   0.652937E+01   0.000000E+00  -0.104690E+02   0.249124E-08   0.257271E-06  -0.599220E-09
  1791   0.375492E+03   0.653368E+01   0.000000E+00  -0.101657E+02   0.248881E-08   0.259861E-06  -0.185045E-08
  1792   0.374395E+03   0.653985E+01   0.000000E+00  -0.986575E+01   0.248639E-08   0.262478E-06  -0.309546E-08
  1793   0.373281E+03   0.654788E+01   0.000000E+00  -0.956928E+01   0.248397E-08   0.265120E-06  -0.433410E-08
  1794   0.372151E+03   0.655773E+01   0.000000E+00  -0.927638E+01   0.248156E-08   0.267787E-06  -0.556625E-08
  1795   0.371005E+03   0.656941E+01   0.000000E+00  -0.898712E+01   0.247915E-08   0.270479E-06  -0.679179E-08
  1796   0.369842E+03   0.658288E+01   0.000000E+00  -0.870158E+01   0.247674E-08   0.273195E-06  -0.801057E-08
  1797   0.368665E+03   0.659813E+01   0.000000E+00  -0.841997E+01   0.247433E-08   0.275934E-06  -0.922247E-08
  1798   0.367472E+03   0.661512E+01   0.000000E+00  -0.814237E+01   0.247193E-08   0.278697E-06  -0.104274E-07
  1799   0.366265E+03   0.663386E+01   0.000000E+00  -0.786871E+01   0.246954E-08   0.281482E-06  -0.116251E-07
  1800   0.365043E+03   0.665429E+01   0.000000E+00  -0.759929E+01   0.246714E-08   0.284289E-06  -0.128156E-07
  1801   0.363807E+03   0.667641E+01   0.000000E+00  -0.733409E+01   0.246475E-08   0.287118E-06  -0.139987E-07
  1802   0.362558E+03   0.670019E+01   0.000000E+00  -0.707322E+01   0.246237E-08   0.289968E-06  -0.151743E-07
  1803   0.361296E+03   0.672561E+01   0.000000E+00  -0.681679E+01   0.245998E-08   0.292839E-06  -0.163424E-07
  1804   0.360022E+03   0.675264E+01   0.000000E+00  -0.656487E+01   0.245760E-08   0.295729E-06  -0.175029E-07
  1805   0.358735E+03   0.678125E+01   0.000000E+00  -0.631752E+01   0.245523E-08   0.298639E-06  -0.186558E-07
  1806   0.357436E+03   0.681142E+01   0.000000E+00  -0.607484E+01   0.245285E-08   0.301568E-06  -0.198010E-07
  1807   0.356126E+03   0.684312E+01   0.000000E+00  -0.583687E+01   0.245049E-08   0.304515E-06  -0.209384E-07
  1808   0.354804E+03   0.687632E+01   0.000000E+00  -0.560371E+01   0.244812E-08   0.307480E-06  -0.220680E-07
  1809   0.353472E+03   0.691100E+01   0.000000E+00  -0.537542E+01   0.244576E-08   0.310462E-06  -0.231897E-07
  1810   0.352129E+03   0.694713E+01   0.000000E+00  -0.515209E+01   0.244340E-08   0.313460E-06  -0.243035E-07
  1811   0.350775E+03   0.698468E+01   0.000000E+00  -0.493376E+01   0.244104E-08   0.316475E-06  -0.254093E-07
  1812   0.349412E+03   0.702361E+01   0.000000E+00  -0.472049E+01   0.243869E-08   0.319505E-06  -0.265071E-07
  1813   0.348039E+03   0.706390E+01   0.000000E+00  -0.451234E+01   0.243634E-08   0.322551E-06  -0.275967E-07
  1814   0.346657E+03   0.710553E+01   0.000000E+00  -0.430938E+01   0.243400E-08   0.325610E-06  -0.286782E-07
  1815   0.345267E+03   0.714845E+01   0.000000E+00  -0.411166E+01   0.243166E-08   0.328684E-06  -0.297514E-07
  1816   0.343869E+03   0.719265E+01   0.000000E+00  -0.391923E+01   0.242932E-08   0.331771E-06  -0.308163E-07
  1817   0.342464E+03   0.723809E+01   0.000000E+00  -0.373215E+01   0.242698E-08   0.334870E-06  -0.318729E-07
  1818   0.341051E+03   0.728473E+01   0.000000E+00  -0.355047E+01   0.242465E-08   0.337982E-06  -0.329211E-07
  1819   0.339631E+03   0.733256E+01   0.000000E+00  -0.337422E+01   0.242232E-08   0.341106E-06  -0.339608E-07
  1820   0.338205E+03   0.738152E+01   0.000000E+00  -0.320346E+01   0.242000E-08   0.344241E-06  -0.349920E-07
  1821   0.336773E+03   0.743156E+01   0.000000E+00  -0.303822E+01   0.241768E-08   0.347386E-06  -0.360146E-07
  1822   0.335335E+03   0.748274E+01   0.000000E+00  -0.287854E+01   0.241536E-08   0.350542E-06  -0.370285E-07
  1823   0.333892E+03   0.753496E+01   0.000000E+00  -0.272449E+01   0.241305E-08   0.353707E-06  -0.380338E-07
  1824   0.332443E+03   0.758815E+01   0.000000E+00  -0.257608E+01   0.241074E-08   0.356880E-06  -0.390302E-07
  1825   0.330991E+03   0.764230E+01   0.000000E+00  -0.243334E+01   0.240843E-08   0.360063E-06  -0.400179E-07
  1826   0.329534E+03   0.769749E+01   0.000000E+00  -0.229631E+01   0.240612E-08   0.363253E-06  -0.409967E-07
  1827   0.328074E+03   0.775350E+01   0.000000E+00  -0.216499E+01   0.240382E-08   0.366450E-06  -0.419665E-07
  1828   0.326610E+03   0.781040E+01   0.000000E+00  -0.203941E+01   0.240152E-08   0.369654E-06  -0.429273E-07
  1829   0.325144E+03   0.786819E+01   0.000000E+00  -0.191958E+01   0.239923E-08   0.372865E-06  -0.438791E-07
  1830   0.323676E+03   0.792680E+01   0.000000E+00  -0.180555E+01   0.239694E-08   0.376081E-06  -0.448217E-07
  1831   0.322206E+03   0.798615E+01   0.000000E+00  -0.169731E+01   0.239465E-08   0.379302E-06  -0.457552E-07
  1832   0.320735E+03   0.804624E+01   0.000000E+00  -0.159488E+01   0.239237E-08   0.382528E-06  -0.466794E-07
  1833   0.319264E+03   0.810700E+01   0.000000E+00  -0.149827E+01   0.239008E-08   0.385757E-06  -0.475943E-07
  1834   0.317791E+03   0.816851E+01   0.000000E+00  -0.140749E+01   0.238781E-08   0.388990E-06  -0.484999E-07
  1835   0.316319E+03   0.823061E+01   0.000000E+00  -0.132254E+01   0.238553E-08   0.392226E-06  -0.493960E-07
  1836   0.314847E+03   0.829330E+01   0.000000E+00  -0.124343E+01   0.238326E-08   0.395465E-06  -0.502827E-07
  1837   0.313376E+03   0.835659E+01   0.000000E+00  -0.117018E+01   0.238099E-08   0.398705E-06  -0.511598E-07
  1838   0.311906E+03   0.842040E+01   0.000000E+00  -0.110278E+01   0.237873E-08   0.401946E-06  -0.520273E-07
  1839   0.310436E+03   0.848473E+01   0.000000E+00  -0.104123E+01   0.237647E-08   0.405188E-06  -0.528852E-07
  1840   0.308969E+03   0.854951E+01   0.000000E+00  -0.985524E+00   0.237421E-08   0.408430E-06  -0.537334E-07
  1841   0.307504E+03   0.861473E+01   0.000000E+00  -0.935646E+00   0.237195E-08   0.411672E-06  -0.545718E-07
  1842   0.306041E+03   0.868024E+01   0.000000E+00  -0.891585E+00   0.236970E-08   0.414913E-06  -0.554004E-07
  1843   0.304582E+03   0.874621E+01   0.000000E+00  -0.853332E+00   0.236745E-08   0.418152E-06  -0.562190E-07
  1844   0.303126E+03   0.881247E+01   0.000000E+00  -0.820880E+00   0.236520E-08   0.421390E-06  -0.570278E-07
  1845   0.301674E+03   0.887895E+01   0.000000E+00  -0.794208E+00   0.236296E-08   0.424624E-06  -0.578265E-07
  1846   0.300226E+03   0.894573E+01   0.000000E+00  -0.773306E+00   0.236072E-08   0.427856E-06  -0.586151E-07
  1847   0.298784E+03   0.901274E+01   0.000000E+00  -0.758155E+00   0.235849E-08   0.431083E-06  -0.593936E-07
  1848   0.297345E+03   0.907989E+01   0.000000E+00  -0.748722E+00   0.235625E-08   0.434307E-06  -0.601620E-07
  1849   0.295912E+03   0.914719E+01   0.000000E+00  -0.744994E+00   0.235403E-08   0.437526E-06  -0.609200E-07
  1850   0.294484E+03   0.921457E+01   0.000000E+00  -0.746941E+00   0.235180E-08   0.440739E-06  -0.616678E-07
  1851   0.293062E+03   0.928202E+01   0.000000E+00  -0.754556E+00   0.234958E-08   0.443947E-06  -0.624052E-07
  1852   0.291647E+03   0.934947E+01   0.000000E+00  -0.767800E+00   0.234735E-08   0.447148E-06  -0.631323E-07
  1853   0.290238E+03   0.941699E+01   0.000000E+00  -0.786638E+00   0.234514E-08   0.450343E-06  -0.638490E-07
  1854   0.288836E+03   0.948437E+01   0.000000E+00  -0.811025E+00   0.234292E-08   0.453531E-06  -0.645553E-07
  1855   0.287442E+03   0.955175E+01   0.000000E+00  -0.840900E+00   0.234071E-08   0.456712E-06  -0.652512E-07
  1856   0.286056E+03   0.961898E+01   0.000000E+00  -0.876236E+00   0.233851E-08   0.459886E-06  -0.659368E-07
  1857   0.284677E+03   0.968613E+01   0.000000E+00  -0.916978E+00   0.233630E-08   0.463051E-06  -0.666120E-07
  1858   0.283307E+03   0.975306E+01   0.000000E+00  -0.963076E+00   0.233410E-08   0.466209E-06  -0.672768E-07
  1859   0.281946E+03   0.981977E+01   0.000000E+00  -0.101449E+01   0.233190E-08   0.469359E-06  -0.679312E-07
  1860   0.280594E+03   0.988626E+01   0.000000E+00  -0.107115E+01   0.232971E-08   0.472500E-06  -0.685753E-07
  1861   0.279251E+03   0.995252E+01   0.000000E+00  -0.113302E+01   0.232751E-08   0.475632E-06  -0.692090E-07
  1862   0.277919E+03   0.100184E+02   0.000000E+00  -0.120003E+01   0.232533E-08   0.478755E-06  -0.698323E-07
  1863   0.276597E+03   0.100840E+02   0.000000E+00  -0.127213E+01   0.232314E-08   0.481869E-06  -0.704452E-07
  1864   0.275285E+03   0.101493E+02   0.000000E+00  -0.134927E+01   0.232096E-08   0.484973E-06  -0.710477E-07
  1865   0.273983E+03   0.102141E+02   0.000000E+00  -0.143139E+01   0.231878E-08   0.488067E-06  -0.716399E-07
  1866   0.272692E+03   0.102785E+02   0.000000E+00  -0.151842E+01   0.231660E-08   0.491150E-06  -0.722216E-07
  1867   0.271413E+03   0.103424E+02   0.000000E+00  -0.161031E+01   0.231443E-08   0.494223E-06  -0.727930E-07
  1868   0.270146E+03   0.104059E+02   0.000000E+00  -0.170698E+01   0.231226E-08   0.497285E-06  -0.733539E-07
  1869   0.268890E+03   0.104688E+02   0.000000E+00  -0.180836E+01   0.231009E-08   0.500336E-06  -0.739045E-07
  1870   0.267646E+03   0.105312E+02   0.000000E+00  -0.191439E+01   0.230792E-08   0.503375E-06  -0.744447E-07
  1871   0.266416E+03   0.105930E+02   0.000000E+00  -0.202499E+01   0.230576E-08   0.506402E-06  -0.749745E-07
  1872   0.265197E+03   0.106542E+02   0.000000E+00  -0.214008E+01   0.230360E-08   0.509417E-06  -0.754939E-07
  1873   0.263991E+03   0.107148E+02   0.000000E+00  -0.225961E+01   0.230145E-08   0.512420E-06  -0.760028E-07
  1874   0.262798E+03   0.107747E+02   0.000000E+00  -0.238348E+01   0.229930E-08   0.515410E-06  -0.765014E-07
  1875   0.261619E+03   0.108339E+02   0.000000E+00  -0.251162E+01   0.229715E-08   0.518387E-06  -0.769896E-07
  1876   0.260454E+03   0.108924E+02   0.000000E+00  -0.264395E+01   0.229500E-08   0.521351E-06  -0.774674E-07
  1877   0.259302E+03   0.109502E+02   0.000000E+00  -0.278039E+01   0.229286E-08   0.524301E-06  -0.779347E-07
  1878   0.258165E+03   0.110072E+02   0.000000E+00  -0.292085E+01   0.229072E-08   0.527238E-06  -0.783917E-07
  1879   0.257042E+03   0.110633E+02   0.000000E+00  -0.306526E+01   0.228858E-08   0.530160E-06  -0.788383E-07
  1880   0.255933E+03   0.111187E+02   0.000000E+00  -0.321353E+01   0.228645E-08   0.533067E-06  -0.792744E-07
  1881   0.254840E+03   0.111732E+02   0.000000E+00  -0.336558E+01   0.228431E-08   0.535960E-06  -0.797001E-07
  1882   0.253761E+03   0.112268E+02   0.000000E+00  -0.352133E+01   0.228219E-08   0.538838E-06  -0.801154E-07
  1883   0.252697E+03   0.112796E+02   0.000000E+00  -0.368067E+01   0.228006E-08   0.541700E-06  -0.805203E-07
  1884   0.251649E+03   0.113314E+02   0.000000E+00  -0.384355E+01   0.227794E-08   0.544547E-06  -0.809148E-07
  1885   0.250615E+03   0.113822E+02   0.000000E+00  -0.400987E+01   0.227582E-08   0.547378E-06  -0.812989E-07
  1886   0.249599E+03   0.114321E+02   0.000000E+00  -0.417953E+01   0.227370E-08   0.550192E-06  -0.816725E-07
  1887   0.248596E+03   0.114810E+02   0.000000E+00  -0.435247E+01   0.227159E-08   0.552990E-06  -0.820357E-07
  1888   0.247611E+03   0.115288E+02   0.000000E+00  -0.452857E+01   0.226948E-08   0.555771E-06  -0.823885E-07
  1889   0.246641E+03   0.115756E+02   0.000000E+00  -0.470775E+01   0.226737E-08   0.558535E-06  -0.827309E-07
  1890   0.245687E+03   0.116214E+02   0.000000E+00  -0.488989E+01   0.226527E-08   0.561282E-06  -0.830628E-07
  1891   0.244750E+03   0.116660E+02   0.000000E+00  -0.507491E+01   0.226316E-08   0.564011E-06  -0.833844E-07
  1892   0.243829E+03   0.117095E+02   0.000000E+00  -0.526269E+01   0.226106E-08   0.566721E-06  -0.836954E-07
  1893   0.242925E+03   0.117519E+02   0.000000E+00  -0.545314E+01   0.225897E-08   0.569414E-06  -0.839961E-07
  1894   0.242038E+03   0.117932E+02   0.000000E+00  -0.564618E+01   0.225688E-08   0.572088E-06  -0.842863E-07
  1895   0.241167E+03   0.118334E+02   0.000000E+00  -0.584167E+01   0.225479E-08   0.574742E-06  -0.845661E-07
  1896   0.240314E+03   0.118724E+02   0.000000E+00  -0.603955E+01   0.225270E-08   0.577378E-06  -0.848354E-07
  1897   0.239477E+03   0.119102E+02   0.000000E+00  -0.623972E+01   0.225061E-08   0.579994E-06  -0.850944E-07
  1898   0.238658E+03   0.119468E+02   0.000000E+00  -0.644207E+01   0.224853E-08   0.582590E-06  -0.853428E-07
  1899   0.237856E+03   0.119821E+02   0.000000E+00  -0.664652E+01   0.224645E-08   0.585167E-06  -0.855809E-07
  1900   0.237071E+03   0.120162E+02   0.000000E+00  -0.685296E+01   0.224438E-08   0.587723E-06  -0.858084E-07
  1901   0.236303E+03   0.120491E+02   0.000000E+00  -0.706131E+01   0.224230E-08   0.590258E-06  -0.860256E-07
  1902   0.235553E+03   0.120806E+02   0.000000E+00  -0.727145E+01   0.224023E-08   0.592772E-06  -0.862323E-07
  1903   0.234820E+03   0.121109E+02   0.000000E+00  -0.748326E+01   0.223817E-08   0.595265E-06  -0.864287E-07
  1904   0.234104E+03   0.121398E+02   0.000000E+00  -0.769674E+01   0.223610E-08   0.597737E-06  -0.866148E-07
  1905   0.233406E+03   0.121674E+02   0.000000E+00  -0.791164E+01   0.223404E-08   0.600187E-06  -0.867905E-07
  1906   0.232726E+03   0.121937E+02   0.000000E+00  -0.812795E+01   0.223198E-08   0.602616E-06  -0.869561E-07
  1907   0.232062E+03   0.122186E+02   0.000000E+00  -0.834559E+01   0.222993E-08   0.605023E-06  -0.871114E-07
  1908   0.231416E+03   0.122423E+02   0.000000E+00  -0.856435E+01   0.222787E-08   0.607408E-06  -0.872565E-07
  1909   0.230788E+03   0.122645E+02   0.000000E+00  -0.878422E+01   0.222582E-08   0.609771E-06  -0.873915E-07
  1910   0.230178E+03   0.122854E+02   0.000000E+00  -0.900514E+01   0.222377E-08   0.612111E-06  -0.875164E-07
  1911   0.229584E+03   0.123049E+02   0.000000E+00  -0.922687E+01   0.222173E-08   0.614428E-06  -0.876313E-07
  1912   0.229009E+03   0.123230E+02   0.000000E+00  -0.944934E+01   0.221969E-08   0.616723E-06  -0.877361E-07
  1913   0.228450E+03   0.123397E+02   0.000000E+00  -0.967256E+01   0.221765E-08   0.618994E-06  -0.878310E-07
  1914   0.227908E+03   0.123550E+02   0.000000E+00  -0.989629E+01   0.221561E-08   0.621243E-06  -0.879159E-07
  1915   0.227385E+03   0.123689E+02   0.000000E+00  -0.101206E+02   0.221358E-08   0.623468E-06  -0.879910E-07
  1916   0.226878E+03   0.123813E+02   0.000000E+00  -0.103452E+02   0.221155E-08   0.625669E-06  -0.880562E-07
  1917   0.226389E+03   0.123924E+02   0.000000E+00  -0.105700E+02   0.220952E-08   0.627847E-06  -0.881115E-07
  1918   0.225916E+03   0.124019E+02   0.000000E+00  -0.107951E+02   0.220750E-08   0.630000E-06  -0.881571E-07
  1919   0.225462E+03   0.124102E+02   0.000000E+00  -0.110202E+02   0.220547E-08   0.632129E-06  -0.881929E-07
  1920   0.225023E+03   0.124169E+02   0.000000E+00  -0.112453E+02   0.220345E-08   0.634234E-06  -0.882191E-07
  1921   0.224602E+03   0.124223E+02   0.000000E+00  -0.114702E+02   0.220144E-08   0.636315E-06  -0.882355E-07
  1922   0.224198E+03   0.124261E+02   0.000000E+00  -0.116949E+02   0.219942E-08   0.638370E-06  -0.882424E-07
  1923   0.223810E+03   0.124287E+02   0.000000E+00  -0.119192E+02   0.219741E-08   0.640401E-06  -0.882397E-07
  1924   0.223440E+03   0.124298E+02   0.000000E+00  -0.121431E+02   0.219540E-08   0.642406E-06  -0.882274E-07
  1925   0.223086E+03   0.124294E+02   0.000000E+00  -0.123665E+02   0.219340E-08   0.644386E-06  -0.882056E-07
  1926   0.222748E+03   0.124276E+02   0.000000E+00  -0.125893E+02   0.219139E-08   0.646341E-06  -0.881744E-07
  1927   0.222427E+03   0.124244E+02   0.000000E+00  -0.128112E+02   0.218939E-08   0.648270E-06  -0.881337E-07
  1928   0.222122E+03   0.124198E+02   0.000000E+00  -0.130324E+02   0.218739E-08   0.650172E-06  -0.880836E-07
  1929   0.221833E+03   0.124137E+02   0.000000E+00  -0.132527E+02   0.218540E-08   0.652049E-06  -0.880242E-07
  1930   0.221560E+03   0.124062E+02   0.000000E+00  -0.134719E+02   0.218341E-08   0.653899E-06  -0.879555E-07
  1931   0.221303E+03   0.123973E+02   0.000000E+00  -0.136900E+02   0.218142E-08   0.655723E-06  -0.878774E-07
  1932   0.221061E+03   0.123870E+02   0.000000E+00  -0.139069E+02   0.217943E-08   0.657520E-06  -0.877902E-07
  1933   0.220835E+03   0.123753E+02   0.000000E+00  -0.141225E+02   0.217745E-08   0.659290E-06  -0.876938E-07
  1934   0.220624E+03   0.123621E+02   0.000000E+00  -0.143368E+02   0.217546E-08   0.661033E-06  -0.875882E-07
  1935   0.220429E+03   0.123476E+02   0.000000E+00  -0.145495E+02   0.217348E-08   0.662748E-06  -0.874735E-07
  1936   0.220248E+03   0.123316E+02   0.000000E+00  -0.147607E+02   0.217151E-08   0.664437E-06  -0.873497E-07
  1937   0.220082E+03   0.123143E+02   0.000000E+00  -0.149702E+02   0.216953E-08   0.666097E-06  -0.872169E-07
  1938   0.219932E+03   0.122956E+02   0.000000E+00  -0.151780E+02   0.216756E-08   0.667730E-06  -0.870751E-07
  1939   0.219795E+03   0.122755E+02   0.000000E+00  -0.153839E+02   0.216560E-08   0.669334E-06  -0.869243E-07
  1940   0.219672E+03   0.122540E+02   0.000000E+00  -0.155879E+02   0.216363E-08   0.670910E-06  -0.867646E-07
  1941   0.219564E+03   0.122312E+02   0.000000E+00  -0.157900E+02   0.216167E-08   0.672458E-06  -0.865961E-07
  1942   0.219470E+03   0.122071E+02   0.000000E+00  -0.159899E+02   0.215971E-08   0.673977E-06  -0.864187E-07
  1943   0.219389E+03   0.121816E+02   0.000000E+00  -0.161877E+02   0.215775E-08   0.675467E-06  -0.862324E-07
  1944   0.219322E+03   0.121548E+02   0.000000E+00  -0.163832E+02   0.215579E-08   0.676928E-06  -0.860374E-07
